label,text
sadness,"I tried to talk to my parents over the phone, as I wanted to go home for the week-end and I knew that I would not be able to bear it.  I tried to reduce the gulf and the conflict between us by talking in order to unite our worlds.  Result : hysterical mess, blinding and blaming."
disgust,"My mother called me because she had read through the enveloppe a letter addressed to me.  She denied having read it intentionally and said \the words just popped out through the enveloppe as the sun was shining on it\"". Hah Hah."""
shame,"I feared that I would have to describe my sexual life to an older, strange woman."
guilt,When I moved away from home.
joy,The inflammation of the ear of my child got cured and the doctor said that the ear was completely all right.
fear,My husband suddenly fell ill seriously and during the medical examinations we did not know what would follow.
anger,The housing council asked the city to cut 40 linden trees so that the inhabitants of the lower floors would have a view to the sea.
sadness,"My child, unexpectedly started acting in a restless and disturbing way at school.  In addition his performance at school weakened."
disgust,"On a trip abroad, a lady-like member of our group turned out to be an alcoholic.  She spoilt many days of my holidays because of her behaviour and paranoia."
shame,I failed an exam which I thought I would certainly pass.
guilt,"I had been guilty of gossiping and blaming others, and one of my superiors at the workplace made a formal reprimand."
joy,When a student of mine (at music) performed and played remarkably well.
fear,When climbing up the stairs to the top of a ski-jumping hill.
anger,My boy-friend came home late one night without having told me about it before.
sadness,The breaking up of a long lasting relationship.
disgust,"While watching the movie called \Deer hunter\"" on TV, when it showed how prisoners were treated."""
shame,When I noticed that a person I found attractive had seen me picking my nose.
guilt,When I think that I have been too stict or narrow minded towards my students.
joy,When I made up with a girl-friend of mine after having been on unfriendly terms with her (my fault).  I cried with joy that evening.
fear,"While cycling in the country, I came across a large herd of cows."
anger,When I heard that my step-mother had treated my mother in a wrong manner.
sadness,When my friend did not pass the high school graduation examinations.
disgust,"When I heard about the advances an acquaintance of mine had made to my friends, who did not approve of them."
shame,"When after having had sexual intercourse with a friend, I thought that he had told about it to a friend of his."
guilt,"When I promised a male friend of mine to visit him, and did not."
joy,"During lectures, I sensed an unexpressed understanding with a boy I did not know.  We exchange glances ; I think he likes me, and I like him too.  Perhaps he has fallen in love with me ........."
fear,"At night, I walk home past a forest.  Once, somebody got stabbed in the forest.  I imagine someone attacking me and I hurry up."
anger,"In a tram, the ticket seller was commanding, taking the role of a leader, trying to emphasize her non-existent authority with undue strictness towards a good-humoured drunk who could not find his ticket at once."
sadness,"A relationship in which I had put my trust, broke up.  I was sad when I realized how easy it is to forget something that one had once regarded as great and significant."
disgust,"A nightmare.  I was dreaming about bloodsuckers, which I tried to shake off from my body, they are everywhere, they get glued, they suck.  And there are a lot of them.  I panic."
shame,"I told evil lies about a close friend of mine.  I was evil in order to sound jolly, to charm a person whom I wanted to impress.  I sold my friend, I was despicable."
guilt,"I met my ex boyfriend by chance.  We separated a few months ago and I am now with a new boyfriend.  My ex boyfriend looked depressed, and I know I am not to be blamed."
fear,Traveling as the only female in a railway carriage in the middle of the night in Italy.
anger,"A male, Honduran acquaintance of mine despised my opinions."
sadness,When our dog died.
disgust,"While walking on the street with a good friend of mine, we met an acquaintance of hers.  My friend started showing off and telling false stories about herself and praising herself."
shame,I was dishonest to my boyfriend concerning something that is important to our relationship.
guilt,A parking fine.
joy,"After having at last finished my master's thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies."
fear,"While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult."
anger,"During the Summer, at my workplace, a person kept interfering with my tasks and making unfounded remarks.  I felt hatred for him but it stopped when I realized that he just longed for attention."
sadness,"The last time I felt sad and disappointed was when I did not do as well as I had hoped in one of the final exams.  As compared with the earlier exams, the questions, I think, were unjust."
disgust,"After the first of May, I detested my fiance's friends, who had piled on to our party and spoilt it completely."
shame,"After our sad first of May party, I felt ashamed because the friends who had been invited had to suffer.  We, the organizers of the party, did not drive the intruders away."
guilt,"At my summer job, I was responsible for making various orders.  It was not me who had ordered some seasonal merchandise, but when much of it was left over and had to be thrown away in the Autumn, I felt partly responsible for the much too large order."
joy,When I met a good friend of mine after a long time.
fear,I was camping with a friend of mine and we spent the night in the forest.  I could not fall off to sleep and could clearly hear noises from outside (steps ?) approaching our tent.
anger,When I quarelled with my parents.
sadness,"Being away from a very close friend, I was away from Finland for a year as an exchange student."
disgust,When I saw a spider.
shame,While playing I urinated on grandma's floor and did not go to the lavatory.  My cousin told grandma and she came.
guilt,"While travelling in a bus with an invalid ticket, I got caught."
joy,"While having a discussion with a colleague of mine, I realized that her conception of man and work were similar to mine."
fear,"While he was drunk, my life partner tried to hit me.  I felt scared and fled to the bathroom."
anger,"A \higher status\"" colleague of mine despised my attitude and organization of work."""
sadness,"I could not meet my love, after having waited for a month, due to illness."
disgust,"Once again, my life partner came back home drunk at midnight."
shame,"My love and me rented a room in a hotel one evening.  We stayed there a few hours and when leaving the hotel, I felt ashamed."
joy,I had just moved to the town where I study and I got a postcard from a good friend (from my home town).
fear,"My boyfriend hinted over the phone about wanting to \be free\"".  He thus did not say it point blank, silence followed."""
anger,They had returned much less of my taxes than I had expected.
sadness,After my boyfriend and I had separated.
disgust,"In the morning, the cat of my landlady had vomited on the floor, near the staircase I take to go to the bathroom."
shame,"My boyfriend's mother, whom I had not met earlier, made an unexpected visit.  I was lying lazily on the bed, reading a newspaper and my boyfriend was studying."
guilt,The cat of my landlady escaped through the window which I had left open.
joy,"I got a letter from my best friend, whom I had not heard from for a long time (a good letter)."
fear,Someone knocked on the door when I was alone at home (though there was a door bell).  I looked through the peep hole but it had been covered.  I called my sister but she could not help me as she was hundreds of kilometres away.
anger,"My parents put pressure on me to buy clothes, when I would not have liked to do so."
sadness,"When my grandfather died, I saw my grandmother crying against my aunt's shoulder (I had never seen my grandmother cry before)."
disgust,"At school, I detested the spinach gruel which had lumps of flour in it."
shame,I told some acquaintances of mine something that I regretted later.
joy,When I got a letter from home.
fear,"While cycling in the country a dog started running beside me, growling and barking, and trying to bite my foot."
anger,"Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. "
sadness,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time."
disgust,When I noticed two spiders running on the floor in different directions.
shame,"When I realized that I had been wrong about a person close to me, because of pre-set ideas and prejudices."
guilt,When I reproached my friend because I was myself low-spirited and disappointed.
joy,I found myself a place after looking for one for a long time.
anger,I was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals.
sadness,"The breaking up of a relationship.  We decided that the relationship could not carry on, so it was no surprise to me. And anyhow, I had known it would happen sooner or later."
disgust,The disgust I feel towards a certain person.
shame,After an event in which I felt that I had acted unfairly.
guilt,"At my job, I got disproportionately angry with a child.  My reaction was not as it should have been."
joy,I went to see the entrance examination results at university.  I rejoyced at my success.
fear,"I borrowed a car which was supposed to be used for a long journey a few hours later, and one of the tyres burst in the middle of the town and I did not know what to do."
anger,"An utterance, which I had intended to be a joke, was taken as an offence.  In my opinion, this was stupid, and I got angry."
sadness,My best friend had a relatively severe illness.  I was sad because she was suffering.
disgust,"A man tried to have sexual intercourse with me, though I had communicated my unwillingness.  Later on, I felt disgust at that person as well as myself because I had partly submitted."
shame,"I told my friend about how I had calculated my salary by cheating a little.  When my friend remarked about it, I understood that it was wrong to do so, and I felt ashamed."
guilt,"I am going steady with a boy, but I had sexual intercourse with another one, and I felt guilty about it afterwards."
joy,A good report card (a scholarship) in primary school.
fear,I was walking home with a friend at night along a quiet street.  Something started rustling in the bush : it was an exhibitionist.
anger,I got angry at a friend of mine whom I caught reading my notebook (almanach).
sadness,When my grandmother died of cancer.
disgust,"In a lift a drunken, fat and untidy man tried to make advances at me."
guilt,"For the sheer pleasure of it, I quarelled with my boyfriend who was trying  to be especially kind to me."
joy,When I made the acquaintance of a certain person.
fear,"When abroad, while driving a car along a dark, winding road."
anger,When my sister took my things without having asked for my permission first.
sadness,When my grandfather died.
disgust,"When I was working, I got treated in a way which I felt was not democratic."
shame,"While working as a domestic helper, one day I had not cleaned up very well and they made a remark about it."
guilt,"When I decided to move away from my parent's home, my mother told me that it was as if a part of her had been torn out of her."
joy,"When I went to a job interview, I met a person who was very nice, and his attitude made me glad."
fear,"My episode of fright happened when I came to study.  I had to stand in front of my still unknown fellow students and talk about myself.  My hands shook, I flushed and became tongue-tied."
guilt,"I felt guilty when I spent a night at my boyfriend's place, particularly because I had been harsh and spiteful when I had left home.  The reason was that I feared a possible discussion on the subject and I wanted to leave defiantly."
joy,"I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks.  We rejoyced, hugged and had a long talk."
fear,"One evening, while going to meet a friend of mine, I had to cross a meadow by a dark road.  There were bushes on the other side of the road.  The weather was damp and a bit foggy.  I heard steps behind me and kept speeding up my steps all the time."
anger,"My brother told me that a person (whom I know) had insulted him.  I am very fond of my brother, and as he himself can not get angry or hurt, my protectiveness was aroused and I got angry."
sadness,"My guinea-pig had been ill for a couple of days.  One evening, when I came home I enquired as to how it was doing.  My mother's expression told me that it had died.  My knees refused to support me and I began to weep convulsively."
disgust,"I happened to see two boys fighting, one of them fell down and hurt his head.  The other one used this to spank the head of the  boy on the ground."
shame,"I had been away all night without having told my parents about it.  In the morning when I came home, my mother looked tired.  She said that she had been awake all night because of me and that she was angry and disappointed."
guilt,"I had not written to, or called my grandmother, who was lonely, for a long time.  My mother asked me to call her on her behalf and when I did so, my grandmother was delighted and she told me that she had been waiting for some news from us."
joy,When I was sick my husband bought me a piece of cake.
fear,I saw a man who had had a heart-attack and who was being treated for it.  I feared that my own father could have been there.
anger,"When I saw a big man hit another one, and nobody did anything."
sadness,"When my sister left to go home, in Sweden, after the Christmas Holidays."
disgust,"I once watched the series called \Dynasty\"" on TV, and I detested it."""
shame,"I feel guilty as I am not working, and even my studies are not progressing."
joy,"When my red-cheeked, content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek."
fear,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.
anger,"Without my permission, my son had made popcorn after coming back from school.  The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ?"
sadness,The death of a close relative.
disgust,One of my fellow students used questionable and unfair means to advance her studies faster than others.  I detested her.
shame,My friend told me in a fairly loud voice the blunders she committed last night.
guilt,I stopped my car in front of a pedestrian crossing as a child was crossing the street.  The car driving in the next lane did not stop and the child got hurt.  Had I not stopped ...
joy,"After my vacations, one day after a lecture it occured to me to buy a rose for my mother.  We went together to a pub and my mother told me that she would be getting married next Spring.  I did not known about it and so was all the more glad."
fear,"I work at a day care centre, and one day when the children were outdoors a four-year old boy disappeared from the yard.  I was not looking after them then, but as the manager it was me who was responsible."
anger,"I was on vacation, and therefore I did not attend a meeting of the day care centre.  Nevertheless, the very day I came back they called me early morining to ask me \what are you going to do about the matter ?\"" (which had been discussed in the meeting).  Then I got angry."""
sadness,"The fact that my mother is getting married again (my mother and father divorced about 15 years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years)."
disgust,"While travelling in a bus, there were three people sitting behind me (two men and a woman).  They were drunk and the conversation was unbelievable (about fucking, fellatio, etc...).  They tried to get others to take part in the conversation.  I loathed it and felt like crying."
shame,"When I was seven years old, I stole a chewing-gum from a big glass bowl on the counter of a nearby shop, and I got caught."
guilt,"I am the secretary of an association, and during the last meeting I forgot to take the minutes."
joy,"I had been away from home for a long time and when I came home I was delighted.  It was wonderful to see familiar, dear people and I was rejoycing in advance.  I had been feeling very lonely."
fear,"I awoke at night and did not remember dreaming about antthing in particular.  I just felt oppressing fear, it was dark and all the others were sleeping."
anger,"One winter day I, unwillingly, was outdoors with my younger brother (10 years younger than me).  I lost my temper on him and wanted to throw my brother down the snow bank we were on.  I pushed him but not as hard as I had wanted to. We were alone the two of us."
sadness,"I was on a class excursion, by boat to Stockholm.  At night my class mates prepared to clebrate their motive in life which was \life is merriment\"".  I felt depressed about the way they sought happiness."""
disgust,"I was on my way home by bus.  A man who had drunk a fair amount of alcohol started talking, trying to hug and pat a woman sitting next to him.  Fortunately it was not me."
shame,I gave a wrong answer at school.
guilt,"When my little brother asked me to play with him, I told him that I had no time and that I would play with him the next day. However, the next day I said the same thing."
joy,"When, after a long time, I saw a girl with whom I was in love."
fear,When I was walking on a fairly out-of-the-way street.
anger,"A friend of mine had promised to arrange me some tickets for a concert which I considered important.  He could not get them the way he thought he would, so he gave up the whole thing."
sadness,I was sad when I saw that a beautiful girl was not attainable.
disgust,"I heard somebody talk about studies in a highly enthusiastic \student-like\"" way."""
shame,"While attending some affairs, which were taking some time, with a bank officer, I felt that my clothes and appearance were out of place, too raggy."
guilt,"One evening I went out with some friends of mine, although I was supposed to stay at home with my little sister who is 11."
joy,While watching an entertainment program in which there was a clever  and amusing sketch.
fear,"When I was in the army, a room mate of mine came back from furlough and threatened another fellow with a knife."
anger,"The last day of school is traditionally celebrated by singing a song about all the students who are leaving.  In the song about me, there were things which irritated me a lot."
sadness,"I worked for seven months in a factory, and made friends with a fellow worker.  Later, I visited my former fellow workers and was told that, while in the army, my friend had shot himself."
disgust,The behaviour of a fellow towards me and some others in the army was really mean.  I detested this.
shame,"I tried to date a girl, but she refused."
guilt,"While doing some calculation exercises, I neglected a part of it, though I had marked it as done.  By chance, I was asked to demonstrate this very part on the blackboard."
joy,"In the army, my result at the shooting exercises got me a three day furlough."
fear,"When I was 8 years old, I would usually come home from school with my mother in a car.  For the first time I had to take the school bus, and I mistook the bus stop and found myself two kilometres away from where I lived.  I was very scared, wondering how I would get back home."
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair).  This is when only a fractoin of the students can find an appartment.
sadness,I lead a rather secure life.  The only thing I can remember is a song from the nineteenth century which is against alcohol.  Both the melody and the word (although naive) effected my emotions.
disgust,"Yesterday in the elevator a man started smoking, this is something I just can not tolerate."
shame,In primary school I once faltered while answering a question and the others started laughing.
joy,When my favourite football team made a goal and was about to win the Cup of England.
fear,I was less than 10 years old when our neighbour's dog chased me to the roof of a small shed and there seemed to be no hope of getting away from there.
anger,"While playing a ball game, I was just about to make a goal when I was thrown off my feet, and I failed to score the goal."
sadness,"When I heard about the death of Frantois Truffaut, the French motion  picture director, on the radio.  I had planned to go and see his last film."
disgust,"I saw a movie called \The Thing\"", the film directed by John Carpenter.  The monster in the film made me feel disgusted."""
shame,I had misbehaved at a party and did not wish to meet the person in question later.
guilt,"While playing a ball game, I made a mistake and we lost the game."
joy,When I was in the sauna bath.
fear,I had a dream in which I was an African elephant.
anger,"When I came for the lesson, it was cancelled and I had to fill in a questionnaire instead."
sadness,"When my car froze, and I could not start it."
disgust,When I saw our computer teacher.
shame,"When I was going downhill on skis, and fell down twice the first time."
guilt,When I was involved in a car crash.
joy,I passed an exam which I thought I had failed.
fear,My mother had not come home at midnight.  She had forgotten to tell me about it.  I was very young and all alone at home.
anger,My girlfriend started singing (she cannot sing) and did not stop despite my asking her to do so.
sadness,When my grandmother died of cancer.
disgust,"When I was still a child, I saw a horror film on TV in which there was a rotten human skull."
shame,"As a small boy, I took a coin from an empty taxi cab.  My mother saw it and told the driver about it.  I even knew the driver."
guilt,When I betrayed my former girlfriend.
anger,"New Year's Eve party in the country, I hardly knew a person; my partner spent most of the time at the bar. I had little opportunity to get to know people because our table was separated and my boyfriend's parents were present."
sadness,"Christmas Eve: there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad."
disgust,"Father said: If you are pregnant, you will have to procure abortion. I was filled with disgust against my father."
shame,"I had an intimate relation with my boyfriend, but unfortunately we had sexual problems; therefore I deceived him, but I was ashamed when I told my friend about it."
guilt,I work at a commercial house from 7 to 10 a.m. On a very cold day in winter I was late - and let a fellow worker stand in the cold for half an hour.
joy,"After one year of searching, my friend and I have found a flat we are able to pay for."
fear,Car accident in the middle of the night.
anger,"At the weekend I wanted to be absent from school because of a sports event, but my teacher refused to give me the day off because he didn't like me."
sadness,"When I was six years old, my favourite cat died."
disgust,A gigantic spider climbed over my face and what is more - in my own flat.
shame,I was very fat and felt absolutely unwell. I was afraid of leaving the house and getting to know new people.
guilt,I was said to be responsible for my mother getting ill and growing thin. I did not realize that it really was my fault until several weeks later.
joy,"I won a car in a prize-competition. The moment I was informed about it, I felt joy."
fear,"My sister had to undergo a very complicated operation, her eyesight was at stake."
anger,I had a quarrel with my parents; I was convinced to be right.
sadness,"I heard that a friend had died in an accident; group situation: suddenly a friend came in and said \Have you already heard that...\""; there was a terrible consternation, silence, then everybody shouted excitedly \""How could that happen...\""."""
disgust,"Scuffle in a carriage of the underground in Vienna, three drunk men thrashed a man in a wheel chair - I watched the scene from another carriage."
shame,I put an end to a friendship with a girl - I had only pretended love and affection to be able to sleep with her.
guilt,A young girl tried to put an end to her life because of lover's grief; not until she was in hospital I heard that I had been the reason for her action.
joy,"In order to be admitted to my final examination, I had to pass two examinations. As I had not studied very much, I resigned myself to be left behind. Nevertheless I succeeded in these examinations."
fear,"I had not told my parents about my bad marks in school. One day, my father wanted to speak to the teachers. Fortunately I could influence my parents to take it easy."
anger,"I wanted to go to a friend of mine who had a party; at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon."
sadness,"A friend of mine, who had repeated a year at school once before, did not pass the final examination and had to take it again half a year later."
disgust,"Eco-activists demonstrated against a project to build a power station at the Danube in the middle of a lowland forest (Hainburg) and the government decided to delay it for another year. When my father heard about it, he said that we needed another Hitler."
shame,There was a time when my room looked terribly untidy; just at that time my aunt came to see me; fortunately I could prevent her from entering the room.
guilt,"I was supposed to fetch some friends at the bus stop, but I did not do it because my father was in a bad mood and I was afraid that he would grumble."
joy,My boyfriend returned after a long absence.
fear,My car skidded on the wet street.
anger,"I wanted to see a friend, I had been looking forward to it and had certain expectations, but he did not pay any attention to me, played cards with other people."
sadness,A good friend quitted me after he had behaved in a strange manner.
disgust,In broad daylight I saw an untidy old man pissing and playing with his penis in the middle of the town.
shame,Somebody who knows me very well discovered that I had told him a lie.
guilt,"When my boyfriend was away, I flirted with his best friend; I felt guilty the next day."
anger,"Recently a good friend only called me when he needed something. He never said \please\"" or \""thank you\"" or any other kind word."""
sadness,"My favourite horse died. We had tried our best to save him, but it was hopeless, he had to be shot."
disgust,I read a book about the sexual phantasies of women; I read about a woman having sexual intercourse with a dog.
shame,In our flat the bath-tub is in the kitchen. At the beginning I had very intensive feelings of shame when I had a bath and people were in the kitchen.
guilt,"I had to take care of the plants of a friend of mine for several weeks. I watered them, but let them stand in a cold room so that two of them perished."
joy,When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again.
fear,"When we stayed in Vienna with our class, my friend and I behaved incorrectly. Our teacher threatened us with exclusion from school."
anger,When I lost my driving license because I had been driving while under the influence of alcool.
sadness,My mother's death.
disgust,When I entered the dissecting room for the first time. I think I felt disgusted mainly because of the bad smell of formaline.
shame,I think I felt ashamed for the first time when I entered a night club.
guilt,"During a ski tour with a friend, we two had drunk too much. When we went down the slope on ski, I lost my friend who had lost his way. I thought that something must have happened to him (he finally arrived but after a very long time)."
joy,My father stayed abroad for one year. He does not like to write letters because he makes ortographic mistakes. I never had a good relation to him. He wrote me a letter in which he said that he loved me.
fear,"When I was a child, I was always afraid of my father. Just when he looked at me, I felt frightened."
anger,A colleague asked me to study with her. I could not explain things as perfectly as she had expected. So she reacted in an aggressive manner.
sadness,"During the Christmas holidays, I went to see my parents and stayed with them for two weeks. After two or three days, we had the same conflicts we had had ten years before when I had lived with them. They were glad when I left."
disgust,"Old man in hospital, hollow-cheeked, only one half of his nose and glass-eye, rattling breath."
shame,When my father came into the bathroom and saw me standing there naked.
guilt,"I live with my boyfriend, we have a close relationship, I fell in love with another man."
joy,When I met my girlfriend - I had not counted on that.
fear,"One night I had a feeling that somebody was stealing my car, but I was too frightened to go and see."
anger,When we rearranged furniture in our flat and got stuck in a chair.
sadness,A person died (not really a friend).
disgust,"Several weeks ago, I had problems with friends, I felt disgusted by a friend."
shame,"When I was a child, I thought that I had to be ashamed when asking and doing certain forbidden things."
guilt,When quarreling with friends.
joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I was not thinking about anything, I felt an overwhelming joy."
fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool). Suddenly some soil fell on us, then some water. Although we tried hard, we could not find out the cause."
anger,I helped my little sister (13 years) learning mathematics. Obviously she did not want to understand what I explained and started to cry. I grew angry.
sadness,When my girlfriend told me that she wanted to leave me.
disgust,"On a trip I passed by a cellulose factory. It was a fine day, beautiful landscape; I observed this factory with disgust."
shame,"When I went to a sauna with my father for the first time (I was 16). When I entered the sauna naked, I felt ashamed for a short time."
guilt,"I came home from a discotheque at half past four in the morning, although I had promised my parents to come home at midnight. From 3 a.m. I felt guilty towards my parents."
joy,A friend I had missed very much came to see me unexpectedly.
fear,On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened.
anger,"A friend of mine tried to persuade me to go at her place to act as a model because she felt too tired. It was a quarter of an hour before the appointed time, I had just lied down and did not want to go because it was too late anyway. She said that I only was talking about looking for work, but if it was possible I would not accept it. I was angry about this unjust judgment."
sadness,"After I had lived with my boyfriend in a foreign country for half a year, I saw that it was impossible for me to stay with him (for economic reasons). We separated although I loved him."
disgust,In a certain book I read about cruelties and violence in prison and souteneur circles; I felt especially disgusted when I read detailed descriptions of physical and mental torture of less powerful people.
shame,"When I talked to a psychotherapist for the first time, I started to cry; first I talked to him but he did not say anything and after a while I was crying."
guilt,"I went shopping with my mother and sister (17 years old). Mother always told my sister what she should buy. Instead of assisting my sister in defending herself against mother's interference, I just behaved aggressively towards my sister."
joy,"When I worked as an \au-pair-girl\"" in London, I received a call from a good friend who told me that she was in London too and wanted to see me. I was very glad - after that call and especially when I saw her."""
fear,It was on St. Claus Day when I was five years old. St. Claus and his Devil Servant came to see me. St. Claus' Devil Servant rattled with his chain and bowled terribly. I was so frightened that my parents had to ask him to leave.
anger,A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.
sadness,When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words.
disgust,A friend prepared a soup with chicken heads and invited me to eat it. I saw the eyes staring at me and the tongues hanging out of the bills. I was so disgusted that I felt nausea and had to leave the room.
shame,"When I had to go to the gynecologist and to sit on that special chair, I felt ashamed."
guilt,"After a terrible quarrel with my family, I withdrew in my room. I felt guilty because I had caused this scene by my aggressive behavior."
joy,I had the unexpected possibility to see a friend I like very much.
fear,I was afraid of a certain examination although I was relatively well prepared.
anger,"At the hairdresser's, I got two stains of dyestuff on my new trousers. These stains are not removable, so I cannot put on the trousers again."
sadness,"In 1977, my grandfather, to whom I had a very close relationship, died."
disgust,A drunken man forced me to kiss him.
shame,A friend started to insult another person without reason and I felt ashamed of her behavior.
guilt,"I had to call somebody between 12 and 12:30. As I had no possibility to call him at this time, I did not do it until 3 p.m."
joy,"After a one year's stay abroad, I returned home. I was even more glad to see how much my family was pleased to see me."
fear,"I went home all alone from a restaurant. It was dark, I went very fast. Behind me, there were some drunk men who shouted at me. By chance, I met some friends who accompanied me."
anger,"A friend who shares the room with me, opened the window in the morning and left the room the whole day. When I came home in the evening, the room was so cold that I couldn't stay there."
sadness,"When my aunt, whom I had loved very much, died. When I heard about her death, I was not as touched as at the funeral. I really became conscious of her death at that moment."
disgust,A friend told me how he managed to win the sympathy of as many people as possible. He said he first listened to what they said and then he tried to only say things they would like to hear. He would never express his own opinion. I felt really disgusted when he told that.
shame,"In a restaurant, I made the acquaintance of a boy who always told the same things in a very loud voice. I laughed and said to him that he always repeated the same things. Some time later I heard that he had undergone a complicated brain operation."
guilt,After closing the front door I realized that I had left the key inside the house. I felt even more guilty since it was not my own house but the house of people I hardly knew.
joy,"On our way to France, my girlfriend and I went to Verona. By chance we met an Italian couple - they gave us two tickets for the dress-rehearsal of \Aida\"". It was a different world for us full of fascination. After the representation we ate a phantastic pizza in a restaurant near the \""Arena\""."""
fear,"On a mountain tour, my girlfriend and I passed by an inn. Near the house there was a big dog which began to follow us. As my girlfriend is afraid of dogs, I had to draw his attention to me. He jumped towards my shoulders and wanted to play with me but I really did not like that."
anger,I arrived in Vienna in the middle of the night. I asked for some silly information - as I realized myself afterwards - and the inquiry  clerk reacted in a very arrogant manner.
sadness,I had to leave my girlfriend for 4 weeks because of my studies. This happens frequently. The last 24 hours before my departure are always very depressing.
disgust,"When I stayed in the house of friends, I washed my face and wanted to dry it with a towel. This towel seemed to have been used over a long time already. It smelled indefinably awful."
shame,"A friend of mine has not very much money. Therefore, once I stayed with him and his girlfriend, I bought some meat, but nobody wanted to go and prepare it for dinner. My friend said \I thought you wanted to invite us for dinner\"". \""Of course\"", I said, but I thought by myself that it must have been enough that I had bought it."""
guilt,"It happened when I still went to school: I got closer to a girl but I considered it only as an \affair\"". Only much later I realized how painful this must have been for the girl."""
joy,When I was informed that a short story I had written had been accepted for publication.
fear,Some friends and I were crossing a street when one of my friends was seized by a car and thrown aside. I had seen the car coming in our direction but I did not have enough time to react and prevent the accident.
anger,"I wanted to clear up a misunderstanding with a friend that I had caused. A third person meddled in our conversation, turned my efforts to ridicule so that I did not succeed in what I had intended."
sadness,Death of my grandmother.
disgust,"In school I had difficulties mith mathematics. When I had to work for an examination, I really felt disgusted."
shame,"I played in a stage play. Suddenly, in front of 200 people, I could not remember the words I had to say."
guilt,One night I did not come home without telling my parents and I did not want to speak about it afterwards. My mother cried. I had a bad conscience and felt guilty.
joy,After 3 weeks I saw my girlfriend again.
fear,"One evening, in the tramway, I was afraid of two drunk men molesting my girlfriend and me."
anger,"I went singing with a group of young people on January 6th (The three Magi), a local custom called \star singing\"". One of the girls, my girlfriend, broke the star. Being the accompanying person, I felt very angry thinking of the consequences."""
sadness,"When the grandmother of my friend died in a hospital. My friend was crying and I was sad, too."
disgust,I saw a physically handicapped young man whose spittle ran out of his mouth while speaking.
shame,"It was in a group situation: suddenly it was my turn to say something,  but I felt that I was not able to express myself very well - I felt ashamed and blushed."
guilt,My girlfriend's results in school had become worse because I prevented her from learning (we often went out etc.).
joy,"I went shopping with my parents - my father payed everything for me, I was very glad."
fear,"When I was a child, I heard the floor cracking and I thought there was a burglar in our house; I hid under the blanket and trembled."
anger,"During a lecture, a colleague who did not know anything about the subject, got on my nerves asking silly questions."
sadness,When my grandfathers died and I realized how much I would miss them.
disgust,"During a football game, another player who was perspiring very strongly ran into me."
shame,"I tried to pass an examination particularly well, but I did it worse than ever. I felt ashamed."
guilt,"During the military service, I lost a part of an equipment; I accused another person and he was rebuked and punished."
joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc."
fear,"I am a \cantor\"" - I sing psalms in church. Several weeks ago I had to sing too, but the organist did not tell me in time. As I did not know the psalm, I was afraid and said that I could not sing."""
anger,"During the Christmas holdidays I wanted to invite my brother, his girlfriend and their child for dinner. When I said to my brother's girlfriend that I would like them to come at my place for dinner, she refused and never mentioned it again as if I had never asked her."
sadness,"Several years ago my brother died in an accident. When I heard about it, I was very sad. It took years until I resigned myself to it."
disgust,"I read a book about the situation in South-Africa, about the terrible violations of human rights. I was disgusted with the white population."
shame,"My P.T. instructor also works as a masseur. He wanted to massage me, therefore I had to undress. For the first few times this was not easy for me; I got gradually used to it."
guilt,"Some time ago I took the driving test. I did answer the theoretical questions very well, but I failed the practical driving test. It was my fault because I had not enough practice."
joy,When my brother came back home after staying in hospital. He had undergone an operation which had been a matter of life or death. When he came home I could see him smile for the first time after may weeks.
fear,After a short stay in Marocco we missed the ferry-boat back to Spain and we had to look for an accomodation. By chance we met a man who offered to take us to a camping site. While I was sitting in his car I was terribly afraid because I had heard of people being robbed in Marocco.
